-0.02 -0.00 1.00 50
-0.05 -0.02 1.03 100
-0.01 -0.01 1.01 150
-0.01 -0.00 1.01 200
-0.02 0.02 1.00 250
-0.01 0.02 1.00 300
-0.03 0.02 1.01 350
-0.07 0.00 1.05 400
-0.08 0.05 1.02 450
-0.07 0.05 1.01 500
-0.07 0.03 1.03 550
-0.08 0.06 1.03 600
-0.06 0.02 1.03 650
-0.10 0.09 1.01 700
-0.05 0.15 1.00 750
-0.07 0.07 1.01 800
-0.04 0.05 1.01 850
-0.03 0.07 1.01 900
-0.03 0.05 1.02 950
-0.02 0.04 1.01 1000
-0.03 0.03 1.01 1050
-0.04 0.05 1.02 1100
-0.02 0.05 1.01 1150
-0.04 0.03 1.02 1200
-0.02 0.04 1.02 1250
-0.02 0.04 1.01 1300
-0.03 0.04 1.01 1350
-0.03 0.04 1.02 1400
-0.03 0.04 1.02 1450
-0.03 0.02 1.01 1500
-0.02 0.02 1.02 1550
-0.02 0.05 1.01 1600
-0.05 0.04 1.02 1650
-0.04 0.04 1.01 1700
-0.03 0.03 1.01 1750
-0.04 0.04 1.01 1800
-0.05 0.04 1.01 1850
-0.03 0.03 1.01 1900
-0.03 0.03 1.02 1950
-0.03 0.03 1.01 2000
-0.02 0.02 1.01 2050
-0.02 0.03 1.02 2100
0.02 0.00 1.01 2150
0.02 0.00 1.01 2200
-0.03 0.04 1.00 2250
0.00 0.00 1.00 2300
0.01 0.01 1.02 2350
-0.01 0.03 0.99 2400
0.00 0.03 1.00 2450
-0.01 0.02 1.01 2500
-0.01 0.02 1.00 2550
0.01 -0.00 1.00 2600
0.05 -0.02 1.02 2650
-0.01 0.02 1.00 2700
-0.04 0.03 1.00 2750
-0.00 -0.01 1.01 2800
-0.03 -0.00 1.00 2850
-0.04 -0.02 1.02 2900
-0.04 -0.01 1.01 2950
-0.04 0.00 1.02 3000
-0.06 -0.00 1.01 3050
-0.03 0.01 0.98 3100
-0.02 -0.02 1.00 3150
0.01 -0.02 1.01 3200
-0.00 -0.01 0.97 3250
-0.01 0.01 1.00 3300
-0.07 0.20 0.71 3350
0.51 0.01 0.74 3400
0.28 -0.12 1.22 3450
-0.06 0.06 1.03 3500
-0.04 0.12 1.03 3550
-0.02 0.05 1.03 3600
-0.05 0.05 1.02 3650
-0.02 0.05 1.01 3700
-0.04 0.09 1.01 3750
-0.06 0.07 1.03 3800
-0.02 0.05 1.03 3850
-0.04 0.04 1.03 3900
-0.03 0.04 1.02 3950
-0.04 0.03 1.01 4000
-0.05 0.04 1.03 4050
-0.02 0.03 1.02 4100
-0.05 0.07 1.01 4150
-0.03 0.04 1.01 4200
-0.02 0.05 1.04 4250
-0.06 0.02 1.01 4300
-0.10 0.11 1.01 4350
